Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDU58,OUT013,3766.934
FDY27,OUT017,2761.748
FDV56,OUT035,1016.4413
FDT59,OUT046,4070.6353
FDB23,OUT046,3310.194
FDR49,OUT045,615.4528
FDB03,OUT010,594.3628
FDN39,OUT045,2698.1272
FDX02,OUT027,6099.251
FDQ16,OUT027,3097.0493
FDU35,OUT018,1702.2136
NCT29,OUT013,1689.4232
FDZ27,OUT046,540.4618
FDN57,OUT017,1903.603
FDA03,OUT018,2354.6719
FDZ36,OUT045,3137.5896
NCU05,OUT013,1368.3699
FDT39,OUT018,1834.6112
FDK60,OUT017,1288.8302
FDZ25,OUT017,3461.5796
FDG12,OUT046,2343.1157
DRB01,OUT019,518.1574
NCC43,OUT027,5730.2476
FDX13,OUT019,470.1484
FDM22,OUT049,888.5037
FDJ03,OUT027,1399.7168
FDU14,OUT018,4590.9336
FDB33,OUT010,236.5496
FDP27,OUT046,2951.7112
FDO38,OUT010,145.0442
FDE28,OUT027,7222.3623
FDO27,OUT035,1311.9171
DRL23,OUT027,1828.349
FDS28,OUT046,796.8482
FDX24,OUT013,1069.4227
FDZ02,OUT035,1129.1007
FDL46,OUT045,1724.2078
FDS60,OUT027,3085.6108
NCO06,OUT017,587.3442
FDO16,OUT035,1666.1532
FDC60,OUT049,1843.846
FDA48,OUT018,3912.213
FDZ36,OUT027,5352.4673
FDK27,OUT045,1990.8804
FDW23,OUT018,313.7092
FDM14,OUT018,1035.3597
FDM14,OUT013,1074.555
FDW60,OUT018,2278.277
FDE21,OUT013,1835.016
NCM42,OUT035,1539.6315
FDY59,OUT010,188.2168
DRI49,OUT049,1270.5677
FDT28,OUT019,328.1718
FDQ22,OUT018,277.0436
FDR60,OUT049,1175.6915
FDC50,OUT019,252.0467
FDV24,OUT013,2065.768
DRF48,OUT010,612.1048
FDQ47,OUT046,629.718
DRN36,OUT049,1645.3997
NCY06,OUT035,2613.4614
FDE52,OUT035,1770.1688
NCB54,OUT045,1560.8608
NCF31,OUT035,1881.4637
FDJ08,OUT027,4450.4644
NCC07,OUT017,1433.1471
NCD19,OUT027,1245.3948
FDL46,OUT049,1739.2056
FDM20,OUT045,6059.1025
NCI06,OUT010,517.5384
DRM11,OUT035,4276.838
NCH07,OUT018,2095.267
FDS23,OUT013,2348.979
FDO49,OUT018,678.7928
FDS35,OUT049,955.5787
DRK39,OUT045,1777.1418
DRI39,OUT049,963.8015
FDV04,OUT017,1529.0072
NCN14,OUT035,3565.6013
FDH08,OUT013,4225.2773
FDS20,OUT046,3916.8027
FDV40,OUT049,857.4675
FDZ48,OUT010,248.5173
FDS24,OUT027,2154.6255
FDK44,OUT049,2505.3313
FDS48,OUT045,2997.891
FDK26,OUT010,490.3404
FDD23,OUT045,3344.302
NCH54,OUT017,3206.0503
NCP14,OUT010,168.0162
FDM60,OUT010,39.6734
FDV24,OUT017,2460.1
FDH08,OUT018,2941.4204
FDS12,OUT027,2576.4575
FDR39,OUT027,4255.537
FDP12,OUT027,995.9292
DRF60,OUT027,5304.079
FDC09,OUT035,1550.6005
FDF50,OUT018,2496.9963
FDG28,OUT035,3451.4
NCE19,OUT017,887.8492
NCM53,OUT010,236.1736
NCN18,OUT049,1430.1294
FDF32,OUT035,3759.4417
FDF11,OUT013,2918.7188
DRI59,OUT049,4225.4883
NCG54,OUT035,2624.64
FDM44,OUT046,1772.9382
FDT57,OUT018,2548.7424
FDV24,OUT046,2306.302
FDI50,OUT019,548.5254
FDS09,OUT035,927.6339
NCC31,OUT027,3571.9229
FDQ07,OUT019,322.3174
FDC22,OUT017,3037.7715
FDZ56,OUT046,3754.1729
FDZ40,OUT019,232.018
FDS46,OUT027,2388.405
DRD24,OUT045,2157.996
FDV45,OUT017,3390.6704
FDL26,OUT045,3589.4353
FDA56,OUT018,1470.6133
FDN27,OUT046,1304.1713
FDM20,OUT049,5583.6274
FDO16,OUT017,2428.6758
FDL03,OUT035,3082.9534
FDE58,OUT046,2016.0062
FDI02,OUT027,3691.265
NCC55,OUT019,79.4383
FDR03,OUT018,2269.788
FDB14,OUT017,1606.2997
FDR45,OUT013,5608.1616
NCN07,OUT017,1931.5472
FDM51,OUT019,344.3143
FDT52,OUT027,6592.539
FDL26,OUT046,3143.3337
NCZ42,OUT046,4359.979
DRI47,OUT019,498.9544
FDW40,OUT013,2347.623
FDN34,OUT046,3539.3188
FDS01,OUT035,3227.4346
NCG55,OUT045,2208.1843
FDC11,OUT035,1115.7484
FDX35,OUT018,1743.3455
NCB06,OUT046,1669.4774
FDR09,OUT019,473.7004
FDC53,OUT017,1255.1835
FDY45,OUT013,3928.5105
FDA22,OUT010,449.7752
FDE02,OUT035,1888.2227
FDW21,OUT045,1799.3438
FDV34,OUT046,1234.8477
FDS59,OUT049,2114.432
NCW17,OUT017,2982.2593
NCK54,OUT046,1973.112
FDG17,OUT019,495.8872
FDG35,OUT017,3197.8965
FDD08,OUT010,69.4838
NCO07,OUT017,4456.5796
FDJ10,OUT010,235.5892
FDW36,OUT017,1340.3224
FDW21,OUT010,141.1576
FDY19,OUT017,2457.11
DRE03,OUT013,636.3656
NCC55,OUT049,889.7512
FDH52,OUT010,125.569
FDO09,OUT017,6117.421
FDU43,OUT045,5088.4375
FDX09,OUT010,407.197
FDH40,OUT019,271.2697
FDW58,OUT017,1731.183
FDC47,OUT017,5971.448
NCR41,OUT035,1483.5103
DRG49,OUT035,5347.639
FDC52,OUT027,2561.662
FDY13,OUT046,1463.7593
FDY35,OUT013,825.0382
FDI35,OUT017,4255.8516
NCU18,OUT049,2278.8796
FDY33,OUT018,3124.7954
FDC15,OUT027,4245.88
FDU01,OUT049,3678.1333
NCU42,OUT046,3891.932
NCV29,OUT018,2332.2744
NCY30,OUT017,3314.6533
FDQ46,OUT049,1624.6919
FDG58,OUT027,3033.553
FDK33,OUT017,4018.2715
NCD07,OUT045,902.9839
NCX29,OUT027,3587.2915
NCT42,OUT013,2030.408
DRN59,OUT035,762.0797
FDI44,OUT035,1316.4191
FDA45,OUT049,1274.7174
FDP31,OUT045,706.1557
FDY01,OUT046,1733.4937
FDT09,OUT018,2021.0236
DRH03,OUT027,2193.6643
FDA36,OUT018,1568.3333
NCF31,OUT017,1817.4069
FDG14,OUT049,3117.8132
FDG28,OUT027,4519.5015
FDU14,OUT049,3998.9236
FDY47,OUT019,357.8944
FDI56,OUT049,1521.3486
DRD01,OUT013,600.8531
FDM22,OUT046,1095.6183
FDH33,OUT013,690.3698
DRZ24,OUT013,2609.084
NCQ38,OUT046,1939.9816
FDO16,OUT027,2581.4475
FDU07,OUT027,4120.5703
NCB07,OUT013,2400.348
FDU48,OUT045,1454.7328
NCM43,OUT045,2358.4578
FDR31,OUT010,271.1583
DRK49,OUT018,445.9405
NCI30,OUT010,406.2176
DRD60,OUT017,2850.4858
NCG19,OUT046,3089.9866
FDH12,OUT035,1832.6602
FDM32,OUT035,1377.6168
FDM27,OUT035,2907.7095
NCU53,OUT027,4531.174
NCQ18,OUT046,2176.3225
FDS10,OUT013,3040.0312
FDB33,OUT027,4831.949
FDI12,OUT013,1432.3733
NCW42,OUT013,4430.984
NCC06,OUT018,2082.354
FDW02,OUT017,2941.9014
NCD43,OUT017,1610.2695
FDM57,OUT018,1059.6865
FDA58,OUT017,3713.7595
FDK56,OUT046,3368.3765
FDP52,OUT045,3951.5483
FDW20,OUT018,2155.3438
FDS52,OUT049,1541.7379
NCT29,OUT018,1587.1398
NCL54,OUT013,3328.3794
FDC05,OUT045,2720.6519
FDF34,OUT035,2651.9434
FDP03,OUT027,3137.9429
FDD32,OUT010,228.582
FDZ10,OUT045,2192.5056
FDZ40,OUT035,968.6911
FDD51,OUT018,331.6816
NCY30,OUT019,294.3868
FDP58,OUT017,3164.3652
FDV49,OUT017,5039.2188
FDY24,OUT019,138.8309
NCO55,OUT017,1963.397
FDR13,OUT017,1050.5137
FDS51,OUT017,1045.8419
FDP26,OUT045,1346.0464
NCB54,OUT027,4338.549
FDF32,OUT017,2906.4485
FDN31,OUT018,1948.4032
DRM48,OUT017,941.9629
FDN20,OUT049,3007.177
DRL01,OUT046,3294.7717
FDV56,OUT049,1496.7822
DRH13,OUT027,2938.2432
FDA03,OUT017,3028.1392
FDF47,OUT027,5159.6196
FDX32,OUT046,2649.3328
FDX57,OUT049,1965.9749
NCA30,OUT045,3029.8254
FDO49,OUT013,686.8734
FDL04,OUT019,185.6684
DRM48,OUT035,936.6069
FDR16,OUT013,4261.4355
NCC19,OUT018,3946.2405
NCE42,OUT045,3032.4944
FDY24,OUT017,1079.048
FDH19,OUT049,2116.7273
FDJ46,OUT013,2011.5804
FDN45,OUT010,645.2582
FDY08,OUT035,2031.2874
FDZ37,OUT035,1595.8011
NCT30,OUT045,822.4662
DRY23,OUT018,557.0996
NCZ30,OUT018,1431.957
FDC44,OUT018,1218.2083
FDB45,OUT035,1828.4954
FDY04,OUT013,1956.9446
FDM27,OUT046,2978.478
FDZ43,OUT017,5127.666
FDT39,OUT019,388.3524
NCC06,OUT019,268.7138
FDL15,OUT027,3946.8623
FDL57,OUT017,5916.687
FDU08,OUT046,1159.8053
FDK40,OUT017,5031.0425
FDQ12,OUT010,574.3356
FDS48,OUT017,3126.0764
FDP09,OUT045,4198.4326
FDW21,OUT049,1421.9208
FDY25,OUT035,4427.919
DRE13,OUT017,1518.3901
FDV43,OUT019,65.8597
FDD22,OUT045,2253.7751
FDM46,OUT019,372.3859
NCO30,OUT010,402.7087
FDM25,OUT046,3309.3218
NCN41,OUT049,1769.196
FDU24,OUT045,1940.9376
FDZ50,OUT046,3129.2363
FDP45,OUT013,3018.8965
NCM54,OUT045,1968.687
FDW10,OUT019,321.0495
FDP20,OUT017,1595.2512
FDK32,OUT046,3008.445
FDN52,OUT049,1100.8086
FDM58,OUT045,2376.113
FDZ46,OUT027,1606.4703
NCA18,OUT018,1362.1438
FDD35,OUT046,2155.5925
NCK31,OUT035,684.5426
FDI40,OUT027,2832.7568
FDT50,OUT019,203.1829
NCT06,OUT046,3149.4546
FDT31,OUT035,2816.454
FDT45,OUT049,751.6441
FDT13,OUT045,3840.9773
FDO50,OUT045,1601.4504
NCU18,OUT010,298.0448
NCR54,OUT049,2940.634
NCO18,OUT018,2937.138
FDU09,OUT045,810.3996
FDT13,OUT018,3560.7563
FDE09,OUT046,1391.0441
NCK53,OUT019,329.8399
FDG45,OUT049,4013.1003
DRH15,OUT035,878.414
FDO21,OUT019,594.2348
FDD14,OUT027,6047.584
FDC09,OUT046,1445.7759
FDH45,OUT027,733.8171
FDV32,OUT046,1259.7478
FDG12,OUT035,1771.3536
FDS32,OUT013,1488.0865
NCL55,OUT018,2897.399
DRE01,OUT035,4631.7607
DRE15,OUT049,1641.2015
NCL42,OUT045,5082.299
FDP31,OUT013,645.9894
FDN33,OUT018,982.5257
FDZ59,OUT046,2989.1973
FDE45,OUT010,298.4501
FDJ07,OUT013,1527.4222
FDQ45,OUT018,2467.7068
FDM33,OUT027,3185.3118
FDO15,OUT010,129.9681
FDM46,OUT013,1605.1288
FDR03,OUT045,3650.5415
FDY49,OUT018,1901.2876
FDQ60,OUT045,1651.1998
FDW10,OUT049,2444.0662
FDO51,OUT049,697.6726
FDJ40,OUT018,1421.3477
FDS20,OUT018,2505.4468
FDU45,OUT013,2122.249
FDV02,OUT035,2944.3728
FDN09,OUT046,4853.241
NCM55,OUT027,5522.844
FDN23,OUT018,2301.3975
FDY31,OUT010,391.2374
FDW03,OUT010,197.6805
FDD14,OUT046,3547.4795
FDV23,OUT017,2014.0846
DRI03,OUT045,2744.9036
FDN13,OUT035,1225.7322
FDF45,OUT027,1368.7435
FDU46,OUT035,1391.2574
FDB57,OUT049,3462.6912
FDV12,OUT049,2260.1333
FDQ58,OUT013,2337.633
NCA18,OUT017,1287.325
FDH52,OUT049,653.3876
FDM24,OUT018,2634.9023
NCP43,OUT027,3923.6323
NCO18,OUT019,469.2372
FDM32,OUT017,880.8093
NCL07,OUT017,640.6179
FDK03,OUT013,5334.35
FDP59,OUT017,1698.2684
FDQ24,OUT049,4149.784
FDQ16,OUT018,978.1726
FDU44,OUT013,2379.0107
FDH28,OUT010,113.1853
FDV28,OUT019,117.9407
FDM22,OUT045,1070.4796
FDR56,OUT046,3272.5198
FDV39,OUT049,3408.8809
FDU37,OUT019,218.8712
FDQ11,OUT010,497.2258
FDX02,OUT045,3860.8125
NCS42,OUT018,1361.9191
FDY57,OUT027,2841.3186
FDB21,OUT049,4325.873
FDE28,OUT017,3740.012
FDQ55,OUT017,2704.7244
FDA48,OUT049,4210.816
FDZ19,OUT045,2762.4429
NCC43,OUT045,3102.396
NCV18,OUT046,2534.6638
NCA42,OUT018,3894.9587
FDY45,OUT046,3818.8247
NCC30,OUT045,3000.714
FDM57,OUT013,1335.2856
FDL09,OUT010,460.9798
FDB09,OUT027,4286.5723
FDT44,OUT035,1733.514
NCT06,OUT027,3604.288
FDX26,OUT049,3986.7188
FDK32,OUT013,3120.3823
DRA12,OUT046,2465.783
FDO46,OUT010,619.5376
FDE52,OUT013,1521.4595
NCH42,OUT045,4228.3843
FDV08,OUT035,649.3336
FDB47,OUT018,2183.2517
FDC28,OUT010,155.9243
FDD22,OUT046,2296.1836
FDS07,OUT027,3791.664
DRI13,OUT045,4018.5005
FDG32,OUT018,3121.8171
FDU14,OUT017,4158.409
FDD28,OUT019,233.5782
NCP41,OUT017,1344.3577
FDS08,OUT049,2124.97
FDX47,OUT045,2227.8127
FDC53,OUT019,226.6015
FDQ19,OUT035,2787.018
FDL14,OUT045,2876.988
FDM33,OUT019,633.8512
FDA51,OUT045,1819.8558
FDZ27,OUT018,434.4016
FDT04,OUT046,731.636
DRC13,OUT049,2501.467
FDR16,OUT027,4145.4585
FDQ03,OUT027,6090.095
FDE38,OUT035,2483.3538
DRH23,OUT027,1642.4365
FDT11,OUT019,679.3806
FDD09,OUT035,2561.633
FDR40,OUT045,1916.3204
FDX07,OUT017,3833.2612
FDR07,OUT035,1488.3198
FDA51,OUT017,1755.7866
FDT59,OUT019,639.813
FDF20,OUT017,3071.1782
FDR13,OUT045,1899.9872
FDY26,OUT049,5414.395
FDW04,OUT017,1428.309
FDK52,OUT017,5497.0425
FDN60,OUT049,4318.092
FDM09,OUT019,557.2942
FDP46,OUT049,1506.3761
FDB50,OUT019,232.8128
NCQ29,OUT049,3313.9062
FDP16,OUT027,8877.33
FDX33,OUT018,1821.4158
FDP07,OUT010,509.4483
FDN22,OUT046,3778.9236
FDF39,OUT049,3680.746
FDS21,OUT017,725.0062
NCM42,OUT013,1604.1124
FDK50,OUT019,543.4992
DRF13,OUT027,4042.6987
FDH35,OUT018,1695.3676
FDP60,OUT018,1650.6675
DRJ49,OUT027,3377.0063
NCT42,OUT019,315.6096
FDE38,OUT049,2329.0762
FDI04,OUT049,3201.589
NCH54,OUT045,3101.033
FDT56,OUT049,666.8518
DRD15,OUT018,2071.954
FDV58,OUT013,2859.7747
FDP21,OUT049,3355.8071
FDH05,OUT013,3897.7688
FDR10,OUT027,5090.5103
NCP06,OUT045,2175.0813
FDF33,OUT049,1880.6425
DRK37,OUT013,3165.9177
DRH49,OUT045,874.4828
FDT58,OUT013,2464.075
FDD41,OUT018,1642.7238
FDP40,OUT018,1659.4094
FDM51,OUT027,2125.1697
FDO45,OUT010,198.68
FDW33,OUT010,213.4534
FDY24,OUT045,808.6916
FDB10,OUT010,548.4963
FDM40,OUT035,1860.7732
NCI06,OUT017,4026.327
FDW12,OUT019,355.1006
FDX48,OUT027,3504.4717
NCW05,OUT027,2201.5332
FDX27,OUT017,1889.871
DRM37,OUT045,3940.1277
FDA38,OUT045,3759.725
FDR36,OUT046,677.7602
FDZ45,OUT046,4170.4937
FDG05,OUT017,2680.406
FDK28,OUT013,4750.9644
FDV47,OUT045,1664.4536
FDN21,OUT045,1895.9532
FDP20,OUT027,2675.1362
FDI35,OUT045,4259.5293
DRY23,OUT013,525.174
FDA56,OUT017,2113.997
FDB09,OUT013,1681.1072
NCO26,OUT027,2672.4714
FDQ49,OUT018,2016.9368
FDI52,OUT027,2682.6746
FDZ44,OUT027,2886.7031
FDZ09,OUT018,2520.8965
FDY03,OUT049,2315.7585
NCG42,OUT017,2037.7136
DRI13,OUT027,6336.25
FDQ32,OUT013,1932.2347
FDW16,OUT035,1341.2356
FDU27,OUT046,828.62
FDR28,OUT010,379.6428
FDQ49,OUT010,243.4541
FDS37,OUT046,1632.3567
FDW26,OUT018,2799.377
FDX12,OUT018,3337.7668
NCP06,OUT013,2687.2073
FDW45,OUT010,267.2859
NCN30,OUT049,1297.2566
FDN24,OUT049,881.8863
NCL41,OUT027,915.373
FDR02,OUT019,401.9594
FDD09,OUT010,358.1665
FDS33,OUT010,120.9957
FDU22,OUT045,2654.5857
FDI53,OUT013,2731.0027
DRH01,OUT049,2964.9824
FDX32,OUT013,2234.6538
NCP30,OUT018,441.1482
FDB60,OUT045,3235.1738
FDB14,OUT049,1482.3921
NCP02,OUT035,649.6646
FDJ10,OUT017,1781.5013
FDG34,OUT046,1738.483
NCB18,OUT017,1468.2042
FDM16,OUT049,1172.5864
FDW25,OUT018,1185.854
FDB35,OUT010,182.6548
DRN11,OUT013,1547.1351
FDF41,OUT019,432.5868
FDH16,OUT045,1682.5488
NCQ50,OUT018,3956.2407
DRH23,OUT018,844.2623
DRJ37,OUT013,1436.6681
DRJ24,OUT027,5576.507
FDY16,OUT035,3317.1042
FDQ27,OUT045,2756.1616
FDZ33,OUT045,1769.6316
FDF29,OUT045,2566.2898
FDA08,OUT049,2491.231
FDG31,OUT046,1051.4506
FDE34,OUT019,468.7822
NCR30,OUT027,2153.535
FDV33,OUT035,3416.2373
DRZ24,OUT018,968.6993
NCL54,OUT035,3181.5034
FDR12,OUT049,1740.9634
NCC54,OUT046,4667.53
DRN59,OUT013,824.9768
FDX50,OUT019,225.7712
FDV31,OUT027,4045.584
NCA29,OUT027,5874.704
FDW60,OUT049,2747.717
FDX08,OUT017,4612.536
DRD49,OUT013,3334.6138
FDD33,OUT046,3402.567
FDW35,OUT013,928.5588
FDJ36,OUT017,1688.7275
FDV51,OUT035,4010.4663
FDW36,OUT046,1386.7792
FDH35,OUT046,1840.9233
NCS30,OUT027,2988.2424
FDN49,OUT017,566.8714
FDL08,OUT018,2914.3638
FDI09,OUT013,3867.2976
FDP19,OUT018,1690.5676
FDU21,OUT010,91.686
NCP41,OUT045,1254.5156
FDY10,OUT013,1859.6288
FDP12,OUT018,487.5602
NCN26,OUT049,1493.435
FDK44,OUT013,2416.254
FDC28,OUT049,1683.5656
FDJ41,OUT027,7009.08
NCT29,OUT035,1653.4697
NCH42,OUT019,502.8772
FDU60,OUT018,3894.3845
FDS02,OUT045,3524.525
FDC51,OUT046,2053.481
FDU03,OUT013,3688.4705
FDX39,OUT045,4704.6543
NCY05,OUT010,115.8797
NCL06,OUT027,6484.2427
FDD32,OUT035,958.4969
NCN41,OUT045,1758.878
NCX53,OUT049,2684.2324
FDU57,OUT019,372.8669
FDQ23,OUT046,1901.137
FDQ52,OUT045,5846.124
FDC14,OUT045,671.9438
FDY09,OUT035,2968.6504
FDQ28,OUT045,2515.1619
FDV25,OUT046,5987.1978
FDJ07,OUT035,2095.3728
DRB25,OUT049,1440.4197
FDK52,OUT019,725.7061
FDY52,OUT027,1240.8317
FDB28,OUT046,1952.4594
FDT36,OUT035,807.6066
FDV25,OUT017,5319.445
NCN07,OUT027,5109.6797
FDC57,OUT017,3203.3604
FDQ03,OUT018,2843.7432
FDU23,OUT017,3421.5425
NCX41,OUT035,3452.434
NCD06,OUT035,771.4788
FDW08,OUT045,1820.687
NCU29,OUT017,2503.3572
NCE06,OUT013,1744.4672
FDV52,OUT010,227.929
FDB02,OUT017,2658.9905
NCR18,OUT045,805.4351
FDK16,OUT049,1517.5994
NCQ29,OUT010,828.7568
FDZ01,OUT019,200.9779
FDW27,OUT035,2286.27
FDD17,OUT018,2744.1387
FDW39,OUT013,1780.856
DRH59,OUT045,1133.1598
FDS52,OUT013,1099.6102
FDU40,OUT027,4021.9675
NCF54,OUT013,1575.6328
FDH46,OUT045,1484.3474
NCP14,OUT049,2584.378
FDH50,OUT049,3608.6091
DRF15,OUT010,320.2504
FDV27,OUT027,2305.9805
NCJ06,OUT049,1876.9556
FDN02,OUT018,3715.4587
FDQ51,OUT049,796.6172
FDQ07,OUT017,4932.8467
FDS45,OUT049,2301.305
NCJ06,OUT045,1812.2396
FDD36,OUT035,1866.0009
FDY25,OUT045,5019.751
FDU52,OUT046,2447.7314
DRK47,OUT017,2984.124
NCL30,OUT017,1651.8582
FDN22,OUT035,3530.057
NCF30,OUT027,3216.2854
FDK03,OUT035,5297.0664
FDT45,OUT017,897.7462
NCC54,OUT027,4859.7725
FDP08,OUT018,2798.2146
FDU44,OUT046,1936.3208
DRG39,OUT035,744.7374
FDU32,OUT049,1964.0938
FDY27,OUT049,2517.6152
NCP54,OUT013,2031.4958
NCZ41,OUT049,1581.0265
DRL49,OUT013,1377.2115
FDI05,OUT018,1277.2372
FDY56,OUT045,6120.3643
DRC13,OUT013,1987.6143
NCV29,OUT017,3252.5046
FDR24,OUT049,1433.7634
FDZ34,OUT018,3068.3508
FDP37,OUT035,2155.213
FDX08,OUT027,4485.4507
FDS57,OUT045,1985.7456
NCG18,OUT049,2020.7736
FDK25,OUT018,2162.9602
FDH53,OUT049,1285.3527
DRI59,OUT018,2983.6006
FDA52,OUT046,2546.5513
FDT20,OUT010,64.0576
FDE36,OUT019,504.8622
FDI24,OUT017,3457.594
FDB28,OUT018,3241.23
FDV11,OUT017,2723.7715
FDP01,OUT046,1950.5955
FDD34,OUT027,3324.4724
FDJ50,OUT027,931.41
FDZ44,OUT013,1386.6061
DRO59,OUT035,1272.8315
DRB48,OUT045,601.031
FDR21,OUT018,2524.489
NCE42,OUT010,410.686
FDO23,OUT046,1389.9183
NCE30,OUT018,2135.1165
FDQ22,OUT035,497.1891
FDY01,OUT045,1700.1548
FDS08,OUT017,2174.7922
FDG28,OUT018,2722.2705
FDQ51,OUT018,650.6172
FDB05,OUT017,4062.8147
FDO56,OUT049,1606.553
FDE02,OUT018,934.0436
FDN45,OUT017,3330.6733
FDS09,OUT013,739.887
NCA54,OUT018,2832.3591
FDP09,OUT010,480.3774
FDC53,OUT045,1534.9595
NCM55,OUT017,3456.994
FDL09,OUT018,1754.264
FDA11,OUT019,177.5957
FDA50,OUT045,2087.478
FDC23,OUT017,3483.67
FDE22,OUT049,2792.0886
FDD23,OUT046,3733.9023
NCA29,OUT049,2903.4846
FDK38,OUT046,2508.767
DRC13,OUT046,2092.0278
NCP43,OUT049,2810.1238
FDX28,OUT049,1301.2335
FDF08,OUT049,1472.2096
FDZ33,OUT046,2718.9133
FDD10,OUT049,2466.9553
FDO58,OUT017,3233.0042
FDI50,OUT017,3938.768
FDO58,OUT045,2123.438
FDX08,OUT013,4060.681
NCK17,OUT010,74.2334
FDF39,OUT035,5371.939
FDU45,OUT010,208.6719
NCJ18,OUT018,2240.232
DRC27,OUT019,368.7898
DRC25,OUT035,1768.6732
FDU59,OUT035,1585.7104
FDU28,OUT035,2842.5212
NCP30,OUT046,1071.3312
FDB39,OUT018,875.4028
FDE41,OUT013,1385.9371
DRH11,OUT010,148.884
FDA58,OUT045,3166.8147
FDU50,OUT046,928.4029
FDM34,OUT013,2182.0881
FDM44,OUT027,1738.622
FDR39,OUT045,3463.002
FDM25,OUT045,2636.3298
FDQ49,OUT049,1938.6018
DRH25,OUT018,949.2759
FDM09,OUT027,3808.7524
FDL44,OUT019,651.7069
NCR42,OUT018,380.8706
DRL59,OUT046,841.4471
FDX43,OUT013,2244.2407
DRK47,OUT010,599.8415
FDU48,OUT018,1270.5071
FDY12,OUT045,630.3908
NCN43,OUT018,1449.3635
NCM55,OUT018,2219.2507
FDQ21,OUT027,2602.898
FDX13,OUT035,4103.048
NCK30,OUT027,6513.1255
FDG20,OUT049,2586.125
DRG27,OUT017,780.5932
FDY14,OUT018,3893.93
FDP59,OUT035,1712.2648
FDU60,OUT017,3428.1636
NCC18,OUT019,393.358
DRJ39,OUT017,5013.7773
FDS07,OUT049,2428.89
FDM08,OUT027,6649.4517
FDP51,OUT045,2424.3818
FDU16,OUT035,1773.2062
FDH12,OUT013,1866.0667
DRE48,OUT010,410.6264
NCL42,OUT027,7996.0103
FDR21,OUT045,2611.984
NCW29,OUT035,1521.6472
FDO11,OUT013,5907.508
NCM31,OUT049,1835.7076
FDV35,OUT019,388.2989
FDF58,OUT017,809.9566
NCE43,OUT049,2783.6836
FDA02,OUT035,2511.8528
DRL37,OUT010,153.8484
FDR24,OUT018,1353.2816
FDW59,OUT049,1529.6
FDS22,OUT049,675.9946
FDW24,OUT017,876.3001
FDU24,OUT035,1357.0238
FDA21,OUT027,5200.087
FDH58,OUT027,2993.0962
FDW36,OUT018,1508.1047
FDI45,OUT027,5223.1504
FDU01,OUT018,3239.2273
FDF35,OUT027,2967.129
FDU43,OUT019,600.4984
FDE24,OUT019,244.7696
FDK50,OUT049,3140.5674
FDG31,OUT045,799.8826
FDC60,OUT045,1807.2968
